zip,total,overall_total,percent_total
20106,100,20328513.18,4.919198916051764e-6
20109,250,20328513.18,1.229799729012941e-5
20111,75,20328513.18,3.6893991870388232e-6
20130,27.5,20328513.18,1.3527797019142352e-6
20137,1010,20328513.18,4.968390905212282e-5
20143,75,20328513.18,3.6893991870388232e-6
20145,120,20328513.18,5.903038699262117e-6
20146,52,20328513.18,2.5579834363469175e-6
20147,250,20328513.18,1.229799729012941e-5
20155,634,20328513.18,3.118772112776818e-5
20172,750,20328513.18,3.689399187038823e-5
20175,50,20328513.18,2.459599458025882e-6
20184,857,20328513.18,4.215753471056362e-5
20185,29345,20328513.18,0.0014435389219153902
20186,20,20328513.18,9.838397832103528e-7
20190,1135,20328513.18,5.5832907697187524e-5
20193,75,20328513.18,3.6893991870388232e-6
20194,25,20328513.18,1.229799729012941e-6
20201,25,20328513.18,1.229799729012941e-6
20207,1000,20328513.18,4.919198916051764e-5
20227,25,20328513.18,1.229799729012941e-6
20236,314.5,20328513.18,1.54708805909828e-5
20406,19,20328513.18,9.346477940498351e-7
20409,165,20328513.18,8.11667821148541e-6
20417,90,20328513.18,4.427279024446588e-6
20464,25,20328513.18,1.229799729012941e-6
20475,20,20328513.18,9.838397832103528e-7
20507,35,20328513.18,1.7217196206181174e-6
20509,25,20328513.18,1.229799729012941e-6
20518,15,20328513.18,7.378798374077646e-7
20580,521,20328513.18,2.562902635262969e-5
20601,26617.81,20328513.18,0.0013093830209967182
20602,10456.44,20328513.18,5.143730831376031e-4
20603,41199.67,20328513.18,0.002026693720056904
20604,541,20328513.18,2.6612866135840044e-05
20606,16.5,20328513.18,8.11667821148541e-7
20607,20866.61,20328513.18,0.001026470052936749
20608,305.5,20328513.18,1.502815268853814e-5
20609,148,20328513.18,7.280414395756611e-6
20610,80.88,20328513.18,3.978648083302666e-6
20613,13728.93,20328513.18,6.753533757455055e-4
20614,5,20328513.18,2.459599458025882e-7
20615,81.5,20328513.18,4.0091471165821874e-6
20616,4124.56,20328513.18,2.0289531081190467e-4
20617,1209.7,20328513.18,5.950754928747819e-5
20618,606.5,20328513.18,2.983494142585395e-5
20619,7242.92,20328513.18,3.5629364213049644e-4
20620,755.5,20328513.18,3.7164547810771075e-5
20621,29,20328513.18,1.4265676856550117e-6
20622,1011.5,20328513.18,4.97576970358636e-5
20623,3668.56,20328513.18,1.804637637547086e-4
20624,139.5,20328513.18,6.862282487892211e-6
20625,1323.26,20328513.18,6.509379157654657e-5
20626,602.5,20328513.18,2.9638173469211878e-5
20628,5149,20328513.18,2.532895521875053e-4
20629,425,20328513.18,2.0906595393219996e-5
20630,325,20328513.18,1.5987396477168233e-5
20634,5724.86,20328513.18,2.81617251065481e-4
20636,10881.22,20328513.18,5.352688562932078e-4
20637,4259.2,20328513.18,2.0951852023247674e-4
20639,20916.44,20328513.18,0.0010289212897566175
20640,3346.04,20328513.18,1.6459836341065846e-4
20645,90,20328513.18,4.427279024446588e-6
20646,17083.51,20328513.18,8.403718387435947e-4
20647,10,20328513.18,4.919198916051764e-7
20650,15514.9,20328513.18,7.632087926265151e-4
20653,14846.55,20328513.18,7.303313266710832e-4
20657,21773.5,20328513.18,0.0010710817759865309
20658,1210.68,20328513.18,5.95557574368555e-5
20659,8196.36,20328513.18,4.031952522757004e-4
20662,1315.18,20328513.18,6.469632030412959e-5
20664,2169,20328513.18,1.0669742448916276e-4
20667,428.5,20328513.18,2.107876735528181e-5
20670,211,20328513.18,1.0379509712869223e-5
20674,1663.22,20328513.18,8.181710021155615e-5
20675,4320,20328513.18,2.125093931734362e-4
20676,14001.13,20328513.18,6.887434351949983e-4
20677,2125,20328513.18,1.0453297696609999e-4
20678,6720.36,20328513.18,3.3058787627477634e-4
20680,3675,20328513.18,1.8078056016490232e-4
20682,25,20328513.18,1.229799729012941e-6
20684,193,20328513.18,9.494053907979905e-6
20685,6451.44,20328513.18,3.173591665497299e-4
20686,3420.7,20328513.18,1.682710373213827e-4
20687,268,20328513.18,1.3183453095018728e-5
20688,16402.21,20328513.18,8.06857336528534e-4
20689,762,20328513.18,3.748429574031444e-5
20690,1415.24,20328513.18,6.961847073953098e-5
20692,220.47,20328513.18,1.0845357850219325e-5
20693,910.9,20328513.18,4.480898292631552e-5
20695,8587.4,20328513.18,4.2243128771702915e-4
20696,55,20328513.18,2.7055594038284704e-6
20698,92.85,20328513.18,4.567476193554063e-6
20701,1345,20328513.18,6.616322542089623e-5
20702,159,20328513.18,7.821526276522306e-6
20703,165.24,20328513.18,8.128484288883936e-6
20704,43,20328513.18,2.1152555339022585e-6
20705,41035.37,20328513.18,0.002018611476237831
20706,45613.48,20328513.18,0.0022438178137334885
20707,66373.67,20328513.18,0.003265052855183775
20708,29724.83,20328513.18,0.0014622235151582298
20709,486,20328513.18,2.3907306732011572e-5
20710,5424.5,20328513.18,2.6684194520122797e-4
20711,19099.27,20328513.18,9.395310828137998e-4
20712,21893.91,20328513.18,0.0010770049834013487
20713,80,20328513.18,3.935359132841411e-6
20714,7062.41,20328513.18,3.474139961671314e-4
20715,52535.25,20328513.18,0.0025843134485450843
20716,35491,20328513.18,0.0017458728872959317
20717,245,20328513.18,1.2052037344326822e-5
20718,3987.9,20328513.18,1.961727335732283e-4
20720,97557.53,20328513.18,0.0047990489582868745
20721,122700.42,20328513.18,0.006035877730630962
